,product_name,final_price,installment_price,uptaded_at,max_price,min_price
77,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:12:46,17399,17399
78,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:12:57,17399,17399
79,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:13:09,17399,17399
80,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:13:20,17399,17399
81,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:13:31,17399,17399
82,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:13:42,17399,17399
83,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:13:53,17399,17399
84,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:14:04,17399,17399
85,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:14:15,17399,17399
86,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:14:25,17399,17399
87,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:14:36,17399,17399
88,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:14:47,17399,17399
89,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:14:58,17399,17399
90,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:15:09,17399,17399
91,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:15:20,17399,17399
92,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:15:31,17399,17399
93,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:15:42,17399,17399
94,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:15:53,17399,17399
95,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:16:04,17399,17399
96,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:16:14,17399,17399
97,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:16:25,17399,17399
98,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:16:36,17399,17399
99,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:16:47,17399,17399
100,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:16:57,17399,17399
101,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:17:08,17399,17399
102,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:17:19,17399,17399
103,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:17:30,17399,17399
